Geoname ID,Name,ASCII Name,Alternate Names,Latitude,Longitude,Population,Digital Elevation Model,Country,Coordinates
1268325,K?lpi,Kalpi,"Kalpi,K?lpi,?????",26.11667,79.73333,44339,128,India,"26.11667, 79.73333"
1268460,Kalas,Kalas,,18.17241,74.79045,14858,560,India,"18.17241, 74.79045"
1268504,Kala?kunda,Kalaikunda,"Kalaikunda,Kala?kunda",22.3393,87.22637,3232,61,India,"22.3393, 87.22637"
1268667,Kadod,Kadod,Kadod,21.21717,73.21972,16747,42,India,"21.21717, 73.21972"
1269247,Jangipur,Jangipur,Jangipur,24.47001,88.07659,82548,27,India,"24.47001, 88.07659"
1269269,Jandi?la,Jandiala,"Jandiala,Jandiali,Jandi?la",31.1593,75.61755,25631,245,India,"31.1593, 75.61755"
1269410,Jalgaon,Jalgaon,Jalgaon,17.74026,73.19087,5822,177,India,"17.74026, 73.19087"
1269495,Jaith?ri,Jaithari,"Jaithari,Jaith?ri",23.20856,78.61487,8386,394,India,"23.20856, 78.61487"
1269920,Hubli,Hubli,"HBX,Hubballi,Hubli,Hubli City,Khubli-Dkharvad,hubballi,?????-???????,?????????",15.34776,75.13378,840214,620,India,"15.34776, 75.13378"
1270466,Halvad,Halvad,"Halvad,Halwad",23.01516,71.18029,26205,45,India,"23.01516, 71.18029"
1270619,Gursah?iganj,Gursahaiganj,"Gursahaiganj,Gursah?iganj",27.11518,79.73174,40214,149,India,"27.11518, 79.73174"
1270789,G?d?r,Gudur,,17.49174,78.82302,5647,440,India,"17.49174, 78.82302"
1271062,Gokavaram,Gokavaram,"Gokaram,Gokavaram",17.25823,81.84985,16389,59,India,"17.25823, 81.84985"
1271078,Goh?nd,Gohand,"Gohand,Goh?nd",25.69871,79.54567,7286,153,India,"25.69871, 79.54567"
1271985,Etikopp?ka,Etikoppaka,"Etikoppaka,Etikopp?ka",17.5,82.73333,12000,229,India,"17.5, 82.73333"
1272051,Ellore,Ellore,"Ellore,Eluru,El?ru,West Godavari,West God?vari",16.71311,81.10437,183387,20,India,"16.71311, 81.10437"
1272358,Dostpur,Dostpur,Dostpur,26.27486,82.47091,12688,97,India,"26.27486, 82.47091"
1272653,Dibai,Dibai,Dibai,28.20849,78.26173,37873,199,India,"28.20849, 78.26173"
1272657,Diamond Harbour,Diamond Harbour,"Diamond Harbor,Diamond Harbour,dayamanda harabara,dayamanda harbara,di ya meng de ha er bo wu er,?????? ??????,??????? ??????,???????? ??????,???????? ??????,?????????",22.19303,88.18466,40095,9,India,"22.19303, 88.18466"
1272842,Dharmavaram,Dharmavaram,Dharmavaram,14.41435,77.72035,114050,369,India,"14.41435, 77.72035"
1272856,Dharmadam,Dharmadam,Dharmadam,11.77538,75.46459,29943,15,India,"11.77538, 75.46459"
1273128,Devakottai,Devakottai,Devakottai,9.94704,78.8233,41568,53,India,"9.94704, 78.8233"
1273145,Des?r,Desur,"Desur,Des?r",12.43727,79.48145,5312,116,India,"12.43727, 79.48145"
1273369,Dausa,Dausa,"Daosa,Dausa,da'usa,dao sa,dausa,?????,????,????,?????,????,??",26.89,76.33584,73034,353,India,"26.89, 76.33584"
1273383,Daulat?b?d,Daulatabad,"Daulatabad,Daulat?b?d,??????????",19.93611,75.22148,10000,597,India,"19.93611, 75.22148"
1273628,Dalsingh Sarai,Dalsingh Sarai,"Dalsingh Sarai,Dalsingh-Sari",25.66795,85.83636,21611,52,India,"25.66795, 85.83636"
1273745,Dabw?li,Dabwali,,29.94906,74.73832,62113,198,India,"29.94906, 74.73832"
1274265,Chicholi,Chicholi,"Chicholi,Ch?choli",21.46926,79.70151,18864,291,India,"21.46926, 79.70151"
1274861,Challapalle,Challapalle,"Challapalle,Challapalli",16.11756,80.93139,16841,10,India,"16.11756, 80.93139"
1274874,Chal?la,Chalala,"Chalala,Chal?la",21.41073,71.16621,17081,139,India,"21.41073, 71.16621"
1274984,Canning,Canning,"Canning,Canning Town,Port Canning",22.31453,88.66248,42132,7,India,"22.31453, 88.66248"
1275762,Biaora,Biaora,Biaora,23.9205,76.91074,41989,433,India,"23.9205, 76.91074"
1275849,Bhongaon,Bhongaon,Bhongaon,27.25515,79.18118,29911,163,India,"27.25515, 79.18118"
1275882,Bhogpur,Bhogpur,"Bhogpur,Bhogpur Sirwal",31.55442,75.64271,18008,244,India,"31.55442, 75.64271"
1275926,Bhind,Bhind,Bhind,26.56671,78.78728,174035,157,India,"26.56671, 78.78728"
1276023,Bhaw?nipatna,Bhawanipatna,"Bhawanipatna,Bhaw?nipatna",19.90717,83.16697,64468,259,India,"19.90717, 83.16697"
1276058,Bh?tp?ra,Bhatpara,"Bhatpara,Bh?tp?ra",22.86643,88.40113,483129,14,India,"22.86643, 88.40113"
1276486,Bel?r,Belur,"Belur,Bel?r,?????",13.16558,75.86519,21551,976,India,"13.16558, 75.86519"
1276509,Bellary,Bellary,"BEP,Ballari,Ball?ri,Belari,Belaris,Bellari,Bellary,Bell?ri,ballari,bei la li,bellari,blary,bllary,bylary,pellari,??????,???????,?????,??????,??????,???????,????????,????????,???????,????????,???????,???????,???",15.14205,76.92398,336681,456,India,"15.14205, 76.92398"
1277264,B?nkura,Bankura,"Bankura,B?nkura,???????",23.23241,87.0716,133966,94,India,"23.23241, 87.0716"
1277358,Bandipura,Bandipura,"Bandapur,Bandipur,Bandipura",34.41728,74.64308,31978,1607,India,"34.41728, 74.64308"
1277814,Baheri,Baheri,Baheri,28.77416,79.4974,63953,194,India,"28.77416, 79.4974"
1278006,Badarw?s,Badarwas,"Badarwas,Badarw?s",24.97516,77.5649,11133,460,India,"24.97516, 77.5649"
1278035,Bachhr?w?n,Bachhrawan,"Bachhrawan,Bachhr?w?n",26.4709,81.1158,12809,120,India,"26.4709, 81.1158"
1278208,Athni,Athni,"Athani,Athni,a te ni,athani,athani taluka,athni,??????? ??????,????,???? ??????,?????,????,??????,????,???",16.72613,75.06421,42047,573,India,"16.72613, 75.06421"
1278340,Aruppukkottai,Aruppukkottai,Aruppukkottai,9.5096,78.09588,85369,100,India,"9.5096, 78.09588"
1278343,Arumuganeri,Arumuganeri,Arumuganeri,8.5688,78.09091,25151,7,India,"8.5688, 78.09091"
1278483,Arrah,Arrah,"Ara,Arrah,Arrakh,Shahabad,a la,ara,araraha,arrah,???,?????,???,????,????,???,?????,???,???,???????,??",25.55629,84.66335,223676,64,India,"25.55629, 84.66335"
1278973,Aln?var,Alnavar,"Alnavar,Aln?var",15.42727,74.74111,16926,576,India,"15.42727, 74.74111"
1279072,Alampur,Alampur,Alampur,26.02514,78.79697,10018,161,India,"26.02514, 78.79697"
1348694,Begampur,Begampur,Begampur,22.7307,88.25764,9831,8,India,"22.7307, 88.25764"
1348739,Dumjor,Dumjor,"Domjur,Dumjor",22.61993,88.24566,17972,10,India,"22.61993, 88.24566"
1348753,Chakapara,Chakapara,"Chakapara,Chakpara",22.63222,88.34861,27320,7,India,"22.63222, 88.34861"
7302805,Akkarampalle,Akkarampalle,,13.65,79.42,20325,167,India,"13.65, 79.42"
7302830,Chinnachowk,Chinnachowk,"Chinna Chowk,Chinnachowk",14.47516,78.8354,64053,135,India,"14.47516, 78.8354"
8541454,Biswanath Chariali,Biswanath Chariali,"Bishnath,Bishn?th,Biswanath Chariali",26.72577,93.14659,0,86,India,"26.72577, 93.14659"
11102685,Abrama,Abrama,,20.85865,72.90648,21000,14,India,"20.85865, 72.90648"
11875608,Bhupalpally,Bhupalpally,,18.21314,79.92729,0,244,India,"18.21314, 79.92729"
1253352,Vattalkundu,Vattalkundu,,10.16069,77.75883,22638,237,India,"10.16069, 77.75883"
1253468,Vals?d,Valsad,"Bulsar,Buls?r,Valsad,Vals?d,Walsad,Wals?d",20.61013,72.93428,72929,12,India,"20.61013, 72.93428"
1253785,?n,Un,"Un,?n",29.58479,77.2554,15007,253,India,"29.58479, 77.2554"
1253901,Ukl?na,Uklana,"Uklana,Uklana Mandi,Ukl?na",29.51124,75.87823,11908,222,India,"29.51124, 75.87823"
1254342,Thiruthani,Thiruthani,"Tirutani,Tiruttani",13.17594,79.61637,39899,85,India,"13.17594, 79.61637"
1254348,Tiruppur,Tiruppur,"Tiruppur,Tirupp?r,Tirupur,di lu pu,tiruppur,tiruppura,tiruppuru,tirupura,tyrwpwr,????????,???????,???????,???????,???????,???????,???????,?????????,??????????,??????????,?????????,???",11.11541,77.35456,397521,305,India,"11.11541, 77.35456"
1254589,Thiruvarur,Thiruvarur,"Thiruvarur,Thiruv?r?r,Tirnvalur,Tiruvalur,Tiruvarur,Tiruv?l?r,di lu wa lu er,thirubarura,tiruvarur,tiruvarura,tiruvaruru,tiruvu~aruru,?????????,?????????,????????,?????????,??????????,?????????,??????????,?????????,?????",10.77269,79.6368,58777,16,India,"10.77269, 79.6368"
1255131,Taleigao,Taleigao,,15.46915,73.83285,17148,2,India,"15.46915, 73.83285"
